Komoditas,TGl,Harga
Bawang Merah,01/01/20,35929
Bawang Merah,02/01/20,35929
Bawang Merah,03/01/20,35929
Bawang Merah,04/01/20,35929
Bawang Merah,05/01/20,35929
Bawang Merah,06/01/20,35929
Bawang Merah,07/01/20,35929
Bawang Merah,08/01/20,35929
Bawang Merah,09/01/20,35929
Bawang Merah,10/01/20,35929
Bawang Merah,11/01/20,35929
Bawang Merah,12/01/20,35929
Bawang Merah,13/01/20,35929
Bawang Merah,14/01/20,35929
Bawang Merah,15/01/20,35929
Bawang Merah,16/01/20,35929
Bawang Merah,17/01/20,35929
Bawang Merah,18/01/20,35929
Bawang Merah,19/01/20,35929
Bawang Merah,20/01/20,35929
Bawang Merah,21/01/20,35929
Bawang Merah,22/01/20,35929
Bawang Merah,23/01/20,35929
Bawang Merah,24/01/20,35929
Bawang Merah,25/01/20,35929
Bawang Merah,26/01/20,35929
Bawang Merah,27/01/20,35929
Bawang Merah,28/01/20,35929
Bawang Merah,29/01/20,35929
Bawang Merah,30/01/20,35929
Bawang Merah,31/01/20,35929
Bawang Merah,01/02/20,
Bawang Merah,02/02/20,
Bawang Merah,03/02/20,39679
Bawang Merah,04/02/20,40426
Bawang Merah,05/02/20,40881
Bawang Merah,06/02/20,40620
Bawang Merah,07/02/20,40782
Bawang Merah,08/02/20,56000
Bawang Merah,09/02/20,
Bawang Merah,10/02/20,40917
Bawang Merah,11/02/20,41428
Bawang Merah,12/02/20,40671
Bawang Merah,13/02/20,40573
Bawang Merah,14/02/20,40444
Bawang Merah,15/02/20,
Bawang Merah,16/02/20,
Bawang Merah,17/02/20,39060
Bawang Merah,18/02/20,38462
Bawang Merah,19/02/20,37747
Bawang Merah,20/02/20,37594
Bawang Merah,21/02/20,37426
Bawang Merah,22/02/20,40000
Bawang Merah,23/02/20,
Bawang Merah,24/02/20,37070
Bawang Merah,25/02/20,36724
Bawang Merah,26/02/20,36574
Bawang Merah,27/02/20,35675
Bawang Merah,28/02/20,35995
Bawang Merah,29/02/20,53900
Bawang Merah,01/03/20,
Bawang Merah,02/03/20,35887
Bawang Merah,03/03/20,35969
Bawang Merah,04/03/20,35990
Bawang Merah,05/03/20,36080
Bawang Merah,06/03/20,35907
Bawang Merah,07/03/20,
Bawang Merah,08/03/20,53900
Bawang Merah,09/03/20,36832
Bawang Merah,10/03/20,36936
Bawang Merah,11/03/20,37052
Bawang Merah,12/03/20,36855
Bawang Merah,13/03/20,36555
Bawang Merah,14/03/20,
Bawang Merah,15/03/20,
Bawang Merah,16/03/20,37211
Bawang Merah,17/03/20,36991
Bawang Merah,18/03/20,37085
Bawang Merah,19/03/20,37537
Bawang Merah,20/03/20,37285
Bawang Merah,21/03/20,
Bawang Merah,22/03/20,
Bawang Merah,23/03/20,38346
Bawang Merah,24/03/20,38582
Bawang Merah,25/03/20,47000
Bawang Merah,26/03/20,39283
Bawang Merah,27/03/20,39660
Bawang Merah,28/03/20,
Bawang Merah,29/03/20,
Bawang Merah,30/03/20,41320
Bawang Merah,31/03/20,41540
Bawang Merah,01/04/20,42007
Bawang Merah,02/04/20,42437
Bawang Merah,03/04/20,42448
Bawang Merah,04/04/20,
Bawang Merah,05/04/20,
Bawang Merah,06/04/20,41940
Bawang Merah,07/04/20,41883
Bawang Merah,08/04/20,42045
Bawang Merah,09/04/20,42545
