Komoditas,TGl,Harga
Bawang Putih Honan,01/01/20,27700
Bawang Putih Honan,02/01/20,31268
Bawang Putih Honan,03/01/20,31433
Bawang Putih Honan,04/01/20,
Bawang Putih Honan,05/01/20,
Bawang Putih Honan,06/01/20,31524
Bawang Putih Honan,07/01/20,31811
Bawang Putih Honan,08/01/20,31950
Bawang Putih Honan,09/01/20,32524
Bawang Putih Honan,10/01/20,32907
Bawang Putih Honan,11/01/20,
Bawang Putih Honan,12/01/20,
Bawang Putih Honan,13/01/20,32907
Bawang Putih Honan,14/01/20,33373
Bawang Putih Honan,15/01/20,33298
Bawang Putih Honan,16/01/20,33251
Bawang Putih Honan,17/01/20,33572
Bawang Putih Honan,18/01/20,
Bawang Putih Honan,19/01/20,
Bawang Putih Honan,20/01/20,33972
Bawang Putih Honan,21/01/20,34192
Bawang Putih Honan,22/01/20,34479
Bawang Putih Honan,23/01/20,34302
Bawang Putih Honan,24/01/20,34645
Bawang Putih Honan,25/01/20,
Bawang Putih Honan,26/01/20,34000
Bawang Putih Honan,27/01/20,34673
Bawang Putih Honan,28/01/20,34715
Bawang Putih Honan,29/01/20,34556
Bawang Putih Honan,30/01/20,34927
Bawang Putih Honan,31/01/20,35057
Bawang Putih Honan,01/02/20,
Bawang Putih Honan,02/02/20,
Bawang Putih Honan,03/02/20,44222
Bawang Putih Honan,04/02/20,47492
Bawang Putih Honan,05/02/20,50137
Bawang Putih Honan,06/02/20,51532
Bawang Putih Honan,07/02/20,52611
Bawang Putih Honan,08/02/20,60000
Bawang Putih Honan,09/02/20,
Bawang Putih Honan,10/02/20,54958
Bawang Putih Honan,11/02/20,54420
Bawang Putih Honan,12/02/20,53811
Bawang Putih Honan,13/02/20,52214
Bawang Putih Honan,14/02/20,51133
Bawang Putih Honan,15/02/20,
Bawang Putih Honan,16/02/20,
Bawang Putih Honan,17/02/20,47577
Bawang Putih Honan,18/02/20,46463
Bawang Putih Honan,19/02/20,45818
Bawang Putih Honan,20/02/20,45515
Bawang Putih Honan,21/02/20,45520
Bawang Putih Honan,22/02/20,
Bawang Putih Honan,23/02/20,
Bawang Putih Honan,24/02/20,44574
Bawang Putih Honan,25/02/20,44386
Bawang Putih Honan,26/02/20,43817
Bawang Putih Honan,27/02/20,43383
Bawang Putih Honan,28/02/20,43638
Bawang Putih Honan,29/02/20,69900
Bawang Putih Honan,01/03/20,
Bawang Putih Honan,02/03/20,43703
Bawang Putih Honan,03/03/20,42796
Bawang Putih Honan,04/03/20,43612
Bawang Putih Honan,05/03/20,43300
Bawang Putih Honan,06/03/20,43615
Bawang Putih Honan,07/03/20,
Bawang Putih Honan,08/03/20,58900
Bawang Putih Honan,09/03/20,43479
Bawang Putih Honan,10/03/20,43696
Bawang Putih Honan,11/03/20,43316
Bawang Putih Honan,12/03/20,42729
Bawang Putih Honan,13/03/20,42519
Bawang Putih Honan,14/03/20,
Bawang Putih Honan,15/03/20,
Bawang Putih Honan,16/03/20,42647
Bawang Putih Honan,17/03/20,42434
Bawang Putih Honan,18/03/20,42365
Bawang Putih Honan,19/03/20,42621
Bawang Putih Honan,20/03/20,42223
Bawang Putih Honan,21/03/20,
Bawang Putih Honan,22/03/20,
Bawang Putih Honan,23/03/20,42432
Bawang Putih Honan,24/03/20,43048
Bawang Putih Honan,25/03/20,48750
Bawang Putih Honan,26/03/20,43384
Bawang Putih Honan,27/03/20,43719
Bawang Putih Honan,28/03/20,
Bawang Putih Honan,29/03/20,
Bawang Putih Honan,30/03/20,44526
Bawang Putih Honan,31/03/20,44097
Bawang Putih Honan,01/04/20,44152
Bawang Putih Honan,02/04/20,43997
Bawang Putih Honan,03/04/20,43894
Bawang Putih Honan,04/04/20,
Bawang Putih Honan,05/04/20,
Bawang Putih Honan,06/04/20,43546
Bawang Putih Honan,07/04/20,44367
Bawang Putih Honan,08/04/20,43833
Bawang Putih Honan,09/04/20,43987
Bawang Putih Honan,10/04/20,41600
Bawang Putih Honan,11/04/20,32000
Bawang Putih Honan,12/04/20,
Bawang Putih Honan,13/04/20,43180
Bawang Putih Honan,14/04/20,42910
Bawang Putih Honan,15/04/20,42409
Bawang Putih Honan,16/04/20,42213
Bawang Putih Honan,17/04/20,41361
Bawang Putih Honan,18/04/20,37500
Bawang Putih Honan,19/04/20,
Bawang Putih Honan,20/04/20,40790
Bawang Putih Honan,21/04/20,40186
Bawang Putih Honan,22/04/20,39390
Bawang Putih Honan,23/04/20,39169
Bawang Putih Honan,24/04/20,38845
Bawang Putih Honan,25/04/20,
Bawang Putih Honan,26/04/20,
Bawang Putih Honan,27/04/20,38018
Bawang Putih Honan,28/04/20,37523
