Komoditas,TGl,Harga
Cabe Merah Besar,01/01/20,37400
Cabe Merah Besar,02/01/20,37517
Cabe Merah Besar,03/01/20,36573
Cabe Merah Besar,04/01/20,
Cabe Merah Besar,05/01/20,
Cabe Merah Besar,06/01/20,37844
Cabe Merah Besar,07/01/20,38409
Cabe Merah Besar,08/01/20,38745
Cabe Merah Besar,09/01/20,38986
Cabe Merah Besar,10/01/20,40798
Cabe Merah Besar,11/01/20,
Cabe Merah Besar,12/01/20,
Cabe Merah Besar,13/01/20,44346
Cabe Merah Besar,14/01/20,44673
Cabe Merah Besar,15/01/20,44521
Cabe Merah Besar,16/01/20,44604
Cabe Merah Besar,17/01/20,45450
Cabe Merah Besar,18/01/20,
Cabe Merah Besar,19/01/20,
Cabe Merah Besar,20/01/20,46281
Cabe Merah Besar,21/01/20,46685
Cabe Merah Besar,22/01/20,47516
Cabe Merah Besar,23/01/20,48874
Cabe Merah Besar,24/01/20,46822
Cabe Merah Besar,25/01/20,
Cabe Merah Besar,26/01/20,68000
Cabe Merah Besar,27/01/20,49263
Cabe Merah Besar,28/01/20,51017
Cabe Merah Besar,29/01/20,50777
Cabe Merah Besar,30/01/20,52138
Cabe Merah Besar,31/01/20,52431
Cabe Merah Besar,01/02/20,
Cabe Merah Besar,02/02/20,
Cabe Merah Besar,03/02/20,53239
Cabe Merah Besar,04/02/20,54307
Cabe Merah Besar,05/02/20,52652
Cabe Merah Besar,06/02/20,52838
Cabe Merah Besar,07/02/20,53217
Cabe Merah Besar,08/02/20,
Cabe Merah Besar,09/02/20,
Cabe Merah Besar,10/02/20,52037
Cabe Merah Besar,11/02/20,50389
Cabe Merah Besar,12/02/20,50077
Cabe Merah Besar,13/02/20,50702
Cabe Merah Besar,14/02/20,50603
Cabe Merah Besar,15/02/20,
Cabe Merah Besar,16/02/20,
Cabe Merah Besar,17/02/20,47850
Cabe Merah Besar,18/02/20,48765
Cabe Merah Besar,19/02/20,49702
Cabe Merah Besar,20/02/20,50267
Cabe Merah Besar,21/02/20,49941
Cabe Merah Besar,22/02/20,
Cabe Merah Besar,23/02/20,
