Komoditas,TGl,Harga
Cabe Merah Keriting,01/01/20,32200
Cabe Merah Keriting,02/01/20,36932
Cabe Merah Keriting,03/01/20,35902
Cabe Merah Keriting,04/01/20,
Cabe Merah Keriting,05/01/20,
Cabe Merah Keriting,06/01/20,38153
Cabe Merah Keriting,07/01/20,38457
Cabe Merah Keriting,08/01/20,37681
Cabe Merah Keriting,09/01/20,37709
Cabe Merah Keriting,10/01/20,38748
Cabe Merah Keriting,11/01/20,
Cabe Merah Keriting,12/01/20,
Cabe Merah Keriting,13/01/20,40550
Cabe Merah Keriting,14/01/20,40702
Cabe Merah Keriting,15/01/20,40636
Cabe Merah Keriting,16/01/20,41208
Cabe Merah Keriting,17/01/20,42075
Cabe Merah Keriting,18/01/20,
Cabe Merah Keriting,19/01/20,
Cabe Merah Keriting,20/01/20,42445
Cabe Merah Keriting,21/01/20,42890
Cabe Merah Keriting,22/01/20,42804
Cabe Merah Keriting,23/01/20,43442
Cabe Merah Keriting,24/01/20,41858
Cabe Merah Keriting,25/01/20,
Cabe Merah Keriting,26/01/20,60000
Cabe Merah Keriting,27/01/20,43349
Cabe Merah Keriting,28/01/20,44308
Cabe Merah Keriting,29/01/20,43954
Cabe Merah Keriting,30/01/20,44437
Cabe Merah Keriting,31/01/20,44305
Cabe Merah Keriting,01/02/20,
Cabe Merah Keriting,02/02/20,
Cabe Merah Keriting,03/02/20,45834
Cabe Merah Keriting,04/02/20,45780
Cabe Merah Keriting,05/02/20,46824
Cabe Merah Keriting,06/02/20,46514
Cabe Merah Keriting,07/02/20,46186
Cabe Merah Keriting,08/02/20,30000
Cabe Merah Keriting,09/02/20,
Cabe Merah Keriting,10/02/20,46362
Cabe Merah Keriting,11/02/20,44827
Cabe Merah Keriting,12/02/20,44346
Cabe Merah Keriting,13/02/20,44306
Cabe Merah Keriting,14/02/20,43770
Cabe Merah Keriting,15/02/20,
Cabe Merah Keriting,16/02/20,
Cabe Merah Keriting,17/02/20,42947
Cabe Merah Keriting,18/02/20,42993
Cabe Merah Keriting,19/02/20,43735
Cabe Merah Keriting,20/02/20,44298
Cabe Merah Keriting,21/02/20,44360
Cabe Merah Keriting,22/02/20,20000
Cabe Merah Keriting,23/02/20,
Cabe Merah Keriting,24/02/20,46034
Cabe Merah Keriting,25/02/20,44335
Cabe Merah Keriting,26/02/20,43678
Cabe Merah Keriting,27/02/20,40879
Cabe Merah Keriting,28/02/20,41870
Cabe Merah Keriting,29/02/20,123900
Cabe Merah Keriting,01/03/20,
Cabe Merah Keriting,02/03/20,40612
Cabe Merah Keriting,03/03/20,39813
Cabe Merah Keriting,04/03/20,39993
Cabe Merah Keriting,05/03/20,39415
Cabe Merah Keriting,06/03/20,38953
Cabe Merah Keriting,07/03/20,
Cabe Merah Keriting,08/03/20,123900
Cabe Merah Keriting,09/03/20,38409
Cabe Merah Keriting,10/03/20,37952
Cabe Merah Keriting,11/03/20,37397
Cabe Merah Keriting,12/03/20,36471
Cabe Merah Keriting,13/03/20,35878
Cabe Merah Keriting,14/03/20,
Cabe Merah Keriting,15/03/20,
Cabe Merah Keriting,16/03/20,34539
Cabe Merah Keriting,17/03/20,34616
Cabe Merah Keriting,18/03/20,34366
Cabe Merah Keriting,19/03/20,32799
Cabe Merah Keriting,20/03/20,32683
Cabe Merah Keriting,21/03/20,
Cabe Merah Keriting,22/03/20,
Cabe Merah Keriting,23/03/20,31875
Cabe Merah Keriting,24/03/20,32091
Cabe Merah Keriting,25/03/20,32750
Cabe Merah Keriting,26/03/20,32896
Cabe Merah Keriting,27/03/20,32750
Cabe Merah Keriting,28/03/20,
Cabe Merah Keriting,29/03/20,
Cabe Merah Keriting,30/03/20,33377
Cabe Merah Keriting,31/03/20,32233
Cabe Merah Keriting,01/04/20,31933
Cabe Merah Keriting,02/04/20,31910
Cabe Merah Keriting,03/04/20,31121
Cabe Merah Keriting,04/04/20,
Cabe Merah Keriting,05/04/20,
Cabe Merah Keriting,06/04/20,31306
Cabe Merah Keriting,07/04/20,31259
Cabe Merah Keriting,08/04/20,30261
Cabe Merah Keriting,09/04/20,29588
Cabe Merah Keriting,10/04/20,27200
Cabe Merah Keriting,11/04/20,0
Cabe Merah Keriting,12/04/20,
Cabe Merah Keriting,13/04/20,29418
Cabe Merah Keriting,14/04/20,29518
Cabe Merah Keriting,15/04/20,29411
Cabe Merah Keriting,16/04/20,29073
Cabe Merah Keriting,17/04/20,28754
Cabe Merah Keriting,18/04/20,35000
Cabe Merah Keriting,19/04/20,
Cabe Merah Keriting,20/04/20,29086
Cabe Merah Keriting,21/04/20,29250
Cabe Merah Keriting,22/04/20,30502
Cabe Merah Keriting,23/04/20,31281
Cabe Merah Keriting,24/04/20,30156
Cabe Merah Keriting,25/04/20,
Cabe Merah Keriting,26/04/20,
Cabe Merah Keriting,27/04/20,31270
Cabe Merah Keriting,28/04/20,31207
Cabe Merah Keriting,29/04/20,30875
Cabe Merah Keriting,30/04/20,29652
Cabe Merah Keriting,01/05/20,28865
Cabe Merah Keriting,02/05/20,27500
Cabe Merah Keriting,03/05/20,
Cabe Merah Keriting,04/05/20,27652
Cabe Merah Keriting,05/05/20,28635
Cabe Merah Keriting,06/05/20,28214
Cabe Merah Keriting,07/05/20,24581
Cabe Merah Keriting,08/05/20,27366
Cabe Merah Keriting,09/05/20,
Cabe Merah Keriting,10/05/20,
Cabe Merah Keriting,11/05/20,27116
Cabe Merah Keriting,12/05/20,27304
