Komoditas,TGl,Harga
Cabe Rawit Merah,01/01/20,46200
Cabe Rawit Merah,02/01/20,43920
Cabe Rawit Merah,03/01/20,44056
Cabe Rawit Merah,04/01/20,
Cabe Rawit Merah,05/01/20,
Cabe Rawit Merah,06/01/20,48436
Cabe Rawit Merah,07/01/20,49808
Cabe Rawit Merah,08/01/20,49343
Cabe Rawit Merah,09/01/20,49092
Cabe Rawit Merah,10/01/20,49312
Cabe Rawit Merah,11/01/20,
Cabe Rawit Merah,12/01/20,
Cabe Rawit Merah,13/01/20,51362
Cabe Rawit Merah,14/01/20,53648
Cabe Rawit Merah,15/01/20,54770
Cabe Rawit Merah,16/01/20,56750
Cabe Rawit Merah,17/01/20,57854
Cabe Rawit Merah,18/01/20,
Cabe Rawit Merah,19/01/20,
Cabe Rawit Merah,20/01/20,61153
Cabe Rawit Merah,21/01/20,62804
Cabe Rawit Merah,22/01/20,64740
Cabe Rawit Merah,23/01/20,67554
Cabe Rawit Merah,24/01/20,65439
Cabe Rawit Merah,25/01/20,
Cabe Rawit Merah,26/01/20,70000
Cabe Rawit Merah,27/01/20,66197
Cabe Rawit Merah,28/01/20,67602
Cabe Rawit Merah,29/01/20,67013
Cabe Rawit Merah,30/01/20,67449
Cabe Rawit Merah,31/01/20,67936
Cabe Rawit Merah,01/02/20,
Cabe Rawit Merah,02/02/20,
Cabe Rawit Merah,03/02/20,67228
Cabe Rawit Merah,04/02/20,67369
Cabe Rawit Merah,05/02/20,65853
Cabe Rawit Merah,06/02/20,65028
Cabe Rawit Merah,07/02/20,65248
Cabe Rawit Merah,08/02/20,60000
Cabe Rawit Merah,09/02/20,
Cabe Rawit Merah,10/02/20,62382
Cabe Rawit Merah,11/02/20,61467
Cabe Rawit Merah,12/02/20,59015
Cabe Rawit Merah,13/02/20,58671
Cabe Rawit Merah,14/02/20,58227
Cabe Rawit Merah,15/02/20,
Cabe Rawit Merah,16/02/20,
Cabe Rawit Merah,17/02/20,52973
Cabe Rawit Merah,18/02/20,51428
Cabe Rawit Merah,19/02/20,50909
Cabe Rawit Merah,20/02/20,47463
Cabe Rawit Merah,21/02/20,46878
Cabe Rawit Merah,22/02/20,28000
Cabe Rawit Merah,23/02/20,
Cabe Rawit Merah,24/02/20,44266
Cabe Rawit Merah,25/02/20,43942
Cabe Rawit Merah,26/02/20,43652
Cabe Rawit Merah,27/02/20,42804
Cabe Rawit Merah,28/02/20,43315
Cabe Rawit Merah,29/02/20,143900
Cabe Rawit Merah,01/03/20,
Cabe Rawit Merah,02/03/20,42118
Cabe Rawit Merah,03/03/20,43395
Cabe Rawit Merah,04/03/20,40804
Cabe Rawit Merah,05/03/20,41085
Cabe Rawit Merah,06/03/20,41266
Cabe Rawit Merah,07/03/20,
Cabe Rawit Merah,08/03/20,143900
Cabe Rawit Merah,09/03/20,41479
Cabe Rawit Merah,10/03/20,41852
Cabe Rawit Merah,11/03/20,41812
Cabe Rawit Merah,12/03/20,41443
Cabe Rawit Merah,13/03/20,42046
Cabe Rawit Merah,14/03/20,
Cabe Rawit Merah,15/03/20,
Cabe Rawit Merah,16/03/20,43554
Cabe Rawit Merah,17/03/20,45548
Cabe Rawit Merah,18/03/20,46177
Cabe Rawit Merah,19/03/20,47878
Cabe Rawit Merah,20/03/20,47821
Cabe Rawit Merah,21/03/20,
Cabe Rawit Merah,22/03/20,
Cabe Rawit Merah,23/03/20,47625
Cabe Rawit Merah,24/03/20,48132
Cabe Rawit Merah,25/03/20,40958
Cabe Rawit Merah,26/03/20,49909
Cabe Rawit Merah,27/03/20,50245
Cabe Rawit Merah,28/03/20,
Cabe Rawit Merah,29/03/20,
Cabe Rawit Merah,30/03/20,51800
Cabe Rawit Merah,31/03/20,51065
Cabe Rawit Merah,01/04/20,51664
Cabe Rawit Merah,02/04/20,53149
Cabe Rawit Merah,03/04/20,54460
Cabe Rawit Merah,04/04/20,
Cabe Rawit Merah,05/04/20,
Cabe Rawit Merah,06/04/20,53630
Cabe Rawit Merah,07/04/20,53302
Cabe Rawit Merah,08/04/20,53788
Cabe Rawit Merah,09/04/20,52797
Cabe Rawit Merah,10/04/20,65000
Cabe Rawit Merah,11/04/20,37500
Cabe Rawit Merah,12/04/20,
Cabe Rawit Merah,13/04/20,49592
Cabe Rawit Merah,14/04/20,48631
Cabe Rawit Merah,15/04/20,47718
Cabe Rawit Merah,16/04/20,46830
Cabe Rawit Merah,17/04/20,46014
Cabe Rawit Merah,18/04/20,39000
Cabe Rawit Merah,19/04/20,
Cabe Rawit Merah,20/04/20,44516
Cabe Rawit Merah,21/04/20,44141
Cabe Rawit Merah,22/04/20,45069
Cabe Rawit Merah,23/04/20,42983
Cabe Rawit Merah,24/04/20,41896
Cabe Rawit Merah,25/04/20,
Cabe Rawit Merah,26/04/20,
Cabe Rawit Merah,27/04/20,41157
Cabe Rawit Merah,28/04/20,41090
Cabe Rawit Merah,29/04/20,39117
Cabe Rawit Merah,30/04/20,38650
Cabe Rawit Merah,01/05/20,34700
Cabe Rawit Merah,02/05/20,32500
Cabe Rawit Merah,03/05/20,
Cabe Rawit Merah,04/05/20,36689
Cabe Rawit Merah,05/05/20,36322
Cabe Rawit Merah,06/05/20,36091
Cabe Rawit Merah,07/05/20,32115
Cabe Rawit Merah,08/05/20,35103
Cabe Rawit Merah,09/05/20,
Cabe Rawit Merah,10/05/20,
Cabe Rawit Merah,11/05/20,36062
Cabe Rawit Merah,12/05/20,36557
Cabe Rawit Merah,13/05/20,36065
Cabe Rawit Merah,14/05/20,35409
Cabe Rawit Merah,15/05/20,33386
Cabe Rawit Merah,16/05/20,75000
Cabe Rawit Merah,17/05/20,
Cabe Rawit Merah,18/05/20,32773
Cabe Rawit Merah,19/05/20,33395
Cabe Rawit Merah,20/05/20,34284
Cabe Rawit Merah,21/05/20,32705
Cabe Rawit Merah,22/05/20,35831
Cabe Rawit Merah,23/05/20,36907
Cabe Rawit Merah,24/05/20,41000
Cabe Rawit Merah,25/05/20,41263
Cabe Rawit Merah,26/05/20,42425
Cabe Rawit Merah,27/05/20,43988
Cabe Rawit Merah,28/05/20,41603
Cabe Rawit Merah,29/05/20,39527
Cabe Rawit Merah,30/05/20,32966
Cabe Rawit Merah,31/05/20,32704
Cabe Rawit Merah,01/06/20,32821
Cabe Rawit Merah,02/06/20,35959
Cabe Rawit Merah,03/06/20,35701
Cabe Rawit Merah,04/06/20,35960
Cabe Rawit Merah,05/06/20,35566
Cabe Rawit Merah,06/06/20,
Cabe Rawit Merah,07/06/20,
Cabe Rawit Merah,08/06/20,35613
Cabe Rawit Merah,09/06/20,36328
Cabe Rawit Merah,10/06/20,37584
Cabe Rawit Merah,11/06/20,36641
Cabe Rawit Merah,12/06/20,36367
Cabe Rawit Merah,13/06/20,
Cabe Rawit Merah,14/06/20,
Cabe Rawit Merah,15/06/20,35878
Cabe Rawit Merah,16/06/20,36449
Cabe Rawit Merah,17/06/20,35959
Cabe Rawit Merah,18/06/20,35161
Cabe Rawit Merah,19/06/20,35483
Cabe Rawit Merah,20/06/20,
Cabe Rawit Merah,21/06/20,
Cabe Rawit Merah,22/06/20,35714
Cabe Rawit Merah,23/06/20,35504
Cabe Rawit Merah,24/06/20,34792
Cabe Rawit Merah,25/06/20,34387
