Komoditas,TGl,Harga
Gula Pasir,01/01/20,13200
Gula Pasir,02/01/20,13217
Gula Pasir,03/01/20,13221
Gula Pasir,04/01/20,
Gula Pasir,05/01/20,
Gula Pasir,06/01/20,13318
Gula Pasir,07/01/20,13383
Gula Pasir,08/01/20,13451
Gula Pasir,09/01/20,13426
Gula Pasir,10/01/20,13469
Gula Pasir,11/01/20,
Gula Pasir,12/01/20,
Gula Pasir,13/01/20,13604
Gula Pasir,14/01/20,13659
Gula Pasir,15/01/20,13653
Gula Pasir,16/01/20,13703
Gula Pasir,17/01/20,13729
Gula Pasir,18/01/20,
Gula Pasir,19/01/20,
Gula Pasir,20/01/20,13816
Gula Pasir,21/01/20,13829
Gula Pasir,22/01/20,13857
Gula Pasir,23/01/20,13832
Gula Pasir,24/01/20,13897
Gula Pasir,25/01/20,
Gula Pasir,26/01/20,14000
Gula Pasir,27/01/20,13879
Gula Pasir,28/01/20,13835
Gula Pasir,29/01/20,13873
Gula Pasir,30/01/20,13893
Gula Pasir,31/01/20,13899
Gula Pasir,01/02/20,
Gula Pasir,02/02/20,
Gula Pasir,03/02/20,13917
Gula Pasir,04/02/20,13945
Gula Pasir,05/02/20,13989
Gula Pasir,06/02/20,14017
Gula Pasir,07/02/20,14016
Gula Pasir,08/02/20,15000
Gula Pasir,09/02/20,
Gula Pasir,10/02/20,14026
Gula Pasir,11/02/20,14058
Gula Pasir,12/02/20,14022
Gula Pasir,13/02/20,14045
Gula Pasir,14/02/20,14080
Gula Pasir,15/02/20,
Gula Pasir,16/02/20,
Gula Pasir,17/02/20,14183
Gula Pasir,18/02/20,14223
Gula Pasir,19/02/20,14204
Gula Pasir,20/02/20,14239
Gula Pasir,21/02/20,14284
Gula Pasir,22/02/20,15000
Gula Pasir,23/02/20,
Gula Pasir,24/02/20,14469
Gula Pasir,25/02/20,14426
Gula Pasir,26/02/20,14420
Gula Pasir,27/02/20,14275
Gula Pasir,28/02/20,14518
Gula Pasir,29/02/20,12490
Gula Pasir,01/03/20,
Gula Pasir,02/03/20,14734
Gula Pasir,03/03/20,14751
Gula Pasir,04/03/20,15017
Gula Pasir,05/03/20,15345
Gula Pasir,06/03/20,15711
Gula Pasir,07/03/20,
Gula Pasir,08/03/20,13245
Gula Pasir,09/03/20,16222
Gula Pasir,10/03/20,16396
Gula Pasir,11/03/20,16497
Gula Pasir,12/03/20,16658
Gula Pasir,13/03/20,16734
Gula Pasir,14/03/20,
Gula Pasir,15/03/20,
Gula Pasir,16/03/20,16856
Gula Pasir,17/03/20,17014
Gula Pasir,18/03/20,17065
Gula Pasir,19/03/20,17127
Gula Pasir,20/03/20,17347
Gula Pasir,21/03/20,
Gula Pasir,22/03/20,
Gula Pasir,23/03/20,17439
Gula Pasir,24/03/20,17752
Gula Pasir,25/03/20,18250
Gula Pasir,26/03/20,18016
Gula Pasir,27/03/20,18188
Gula Pasir,28/03/20,
Gula Pasir,29/03/20,
Gula Pasir,30/03/20,18304
Gula Pasir,31/03/20,18280
Gula Pasir,01/04/20,18326
Gula Pasir,02/04/20,18262
Gula Pasir,03/04/20,18433
Gula Pasir,04/04/20,
Gula Pasir,05/04/20,
Gula Pasir,06/04/20,18611
Gula Pasir,07/04/20,18723
Gula Pasir,08/04/20,18708
Gula Pasir,09/04/20,18622
Gula Pasir,10/04/20,18500
Gula Pasir,11/04/20,17500
Gula Pasir,12/04/20,
Gula Pasir,13/04/20,18574
Gula Pasir,14/04/20,18611
Gula Pasir,15/04/20,18541
Gula Pasir,16/04/20,18585
Gula Pasir,17/04/20,18533
Gula Pasir,18/04/20,19500
Gula Pasir,19/04/20,
Gula Pasir,20/04/20,18451
Gula Pasir,21/04/20,18411
Gula Pasir,22/04/20,18439
Gula Pasir,23/04/20,18368
Gula Pasir,24/04/20,18301
Gula Pasir,25/04/20,
Gula Pasir,26/04/20,
Gula Pasir,27/04/20,18090
Gula Pasir,28/04/20,18039
Gula Pasir,29/04/20,17988
Gula Pasir,30/04/20,17878
Gula Pasir,01/05/20,17794
Gula Pasir,02/05/20,19750
Gula Pasir,03/05/20,
Gula Pasir,04/05/20,17735
Gula Pasir,05/05/20,17725
Gula Pasir,06/05/20,17615
Gula Pasir,07/05/20,17172
Gula Pasir,08/05/20,17431
Gula Pasir,09/05/20,
Gula Pasir,10/05/20,
Gula Pasir,11/05/20,17420
Gula Pasir,12/05/20,17330
Gula Pasir,13/05/20,17228
Gula Pasir,14/05/20,17182
Gula Pasir,15/05/20,17150
Gula Pasir,16/05/20,19000
Gula Pasir,17/05/20,
Gula Pasir,18/05/20,16968
Gula Pasir,19/05/20,16883
Gula Pasir,20/05/20,16815
Gula Pasir,21/05/20,16373
Gula Pasir,22/05/20,16413
Gula Pasir,23/05/20,16423
Gula Pasir,24/05/20,17313
Gula Pasir,25/05/20,16786
Gula Pasir,26/05/20,16343
Gula Pasir,27/05/20,16294
Gula Pasir,28/05/20,16233
Gula Pasir,29/05/20,16222
Gula Pasir,30/05/20,15984
Gula Pasir,31/05/20,15984
Gula Pasir,01/06/20,15661
Gula Pasir,02/06/20,15943
Gula Pasir,03/06/20,15872
Gula Pasir,04/06/20,15864
Gula Pasir,05/06/20,15737
Gula Pasir,06/06/20,
Gula Pasir,07/06/20,
Gula Pasir,08/06/20,15599
Gula Pasir,09/06/20,15498
Gula Pasir,10/06/20,15518
Gula Pasir,11/06/20,15379
Gula Pasir,12/06/20,15273
Gula Pasir,13/06/20,
Gula Pasir,14/06/20,
Gula Pasir,15/06/20,15106
Gula Pasir,16/06/20,14958
Gula Pasir,17/06/20,14947
Gula Pasir,18/06/20,14845
Gula Pasir,19/06/20,14867
Gula Pasir,20/06/20,
Gula Pasir,21/06/20,
Gula Pasir,22/06/20,14702
Gula Pasir,23/06/20,14638
Gula Pasir,24/06/20,14636
Gula Pasir,25/06/20,14605
Gula Pasir,26/06/20,14556
Gula Pasir,27/06/20,
Gula Pasir,28/06/20,
Gula Pasir,29/06/20,14478
Gula Pasir,30/06/20,14360
Gula Pasir,01/07/20,14281
Gula Pasir,02/07/20,14215
Gula Pasir,03/07/20,14213
Gula Pasir,04/07/20,
Gula Pasir,05/07/20,
Gula Pasir,06/07/20,14165
Gula Pasir,07/07/20,14127
Gula Pasir,08/07/20,14074
Gula Pasir,09/07/20,14003
Gula Pasir,10/07/20,14005
Gula Pasir,11/07/20,
Gula Pasir,12/07/20,12500
Gula Pasir,13/07/20,13976
Gula Pasir,14/07/20,13956
Gula Pasir,15/07/20,13964
Gula Pasir,16/07/20,13915
Gula Pasir,17/07/20,14504
Gula Pasir,18/07/20,
Gula Pasir,19/07/20,
Gula Pasir,20/07/20,13883
Gula Pasir,21/07/20,13854
Gula Pasir,22/07/20,13857
Gula Pasir,23/07/20,13844
Gula Pasir,24/07/20,13826
Gula Pasir,25/07/20,
Gula Pasir,26/07/20,
Gula Pasir,27/07/20,13821
Gula Pasir,28/07/20,13781
Gula Pasir,29/07/20,13745
Gula Pasir,30/07/20,13704
Gula Pasir,31/07/20,
Gula Pasir,01/08/20,13500
Gula Pasir,02/08/20,13500
Gula Pasir,03/08/20,13648
Gula Pasir,04/08/20,13714
Gula Pasir,05/08/20,13727
Gula Pasir,06/08/20,13699
Gula Pasir,07/08/20,13699
Gula Pasir,08/08/20,14000
Gula Pasir,09/08/20,14000
Gula Pasir,10/08/20,13674
Gula Pasir,11/08/20,13629
Gula Pasir,12/08/20,13574
Gula Pasir,13/08/20,13548
Gula Pasir,14/08/20,13550
Gula Pasir,15/08/20,
Gula Pasir,16/08/20,
Gula Pasir,17/08/20,13477
Gula Pasir,18/08/20,13574
Gula Pasir,19/08/20,13561
Gula Pasir,20/08/20,13353
Gula Pasir,21/08/20,
Gula Pasir,22/08/20,
Gula Pasir,23/08/20,
Gula Pasir,24/08/20,13555
Gula Pasir,25/08/20,13550
Gula Pasir,26/08/20,13556
Gula Pasir,27/08/20,13553
Gula Pasir,28/08/20,13553
Gula Pasir,29/08/20,
Gula Pasir,30/08/20,
Gula Pasir,31/08/20,13534
Gula Pasir,01/09/20,13538
Gula Pasir,02/09/20,13524
Gula Pasir,03/09/20,13524
