Komoditas,TGl,Harga
Kedelai Impor,01/01/20,8390
Kedelai Impor,02/01/20,10285
Kedelai Impor,03/01/20,10067
Kedelai Impor,04/01/20,
Kedelai Impor,05/01/20,
Kedelai Impor,06/01/20,9960
Kedelai Impor,07/01/20,10008
Kedelai Impor,08/01/20,10115
Kedelai Impor,09/01/20,10045
Kedelai Impor,10/01/20,10055
Kedelai Impor,11/01/20,
Kedelai Impor,12/01/20,
Kedelai Impor,13/01/20,10054
Kedelai Impor,14/01/20,10178
Kedelai Impor,15/01/20,9963
Kedelai Impor,16/01/20,10027
Kedelai Impor,17/01/20,10055
Kedelai Impor,18/01/20,
Kedelai Impor,19/01/20,
Kedelai Impor,20/01/20,9964
Kedelai Impor,21/01/20,9934
Kedelai Impor,22/01/20,10000
Kedelai Impor,23/01/20,9978
Kedelai Impor,24/01/20,10114
Kedelai Impor,25/01/20,
Kedelai Impor,26/01/20,10000
Kedelai Impor,27/01/20,9934
Kedelai Impor,28/01/20,9947
Kedelai Impor,29/01/20,10147
Kedelai Impor,30/01/20,10103
Kedelai Impor,31/01/20,10142
Kedelai Impor,01/02/20,9912
Kedelai Impor,02/02/20,10080
Kedelai Impor,03/02/20,10081
Kedelai Impor,04/02/20,10066
Kedelai Impor,05/02/20,10146
Kedelai Impor,06/02/20,
Kedelai Impor,07/02/20,
Kedelai Impor,08/02/20,
Kedelai Impor,09/02/20,
Kedelai Impor,10/02/20,9940
Kedelai Impor,11/02/20,10077
Kedelai Impor,12/02/20,9944
Kedelai Impor,13/02/20,10923
Kedelai Impor,14/02/20,10033
Kedelai Impor,15/02/20,
Kedelai Impor,16/02/20,
Kedelai Impor,17/02/20,14183
Kedelai Impor,18/02/20,14223
Kedelai Impor,19/02/20,14204
Kedelai Impor,20/02/20,14239
Kedelai Impor,21/02/20,14284
Kedelai Impor,22/02/20,15000
Kedelai Impor,23/02/20,
Kedelai Impor,24/02/20,14469
Kedelai Impor,25/02/20,14426
Kedelai Impor,26/02/20,14420
Kedelai Impor,27/02/20,14275
Kedelai Impor,28/02/20,14518
Kedelai Impor,29/02/20,12490
Kedelai Impor,01/03/20,
Kedelai Impor,02/03/20,10000
Kedelai Impor,03/03/20,10009
Kedelai Impor,04/03/20,10189
Kedelai Impor,05/03/20,10100
Kedelai Impor,06/03/20,10068
Kedelai Impor,07/03/20,
Kedelai Impor,08/03/20,
Kedelai Impor,09/03/20,9986
Kedelai Impor,10/03/20,10102
Kedelai Impor,11/03/20,10100
Kedelai Impor,12/03/20,10609
Kedelai Impor,13/03/20,10066
Kedelai Impor,14/03/20,
Kedelai Impor,15/03/20,
Kedelai Impor,16/03/20,9916
Kedelai Impor,17/03/20,10022
Kedelai Impor,18/03/20,10072
Kedelai Impor,19/03/20,10022
Kedelai Impor,20/03/20,10342
Kedelai Impor,21/03/20,
Kedelai Impor,22/03/20,
Kedelai Impor,23/03/20,10467
Kedelai Impor,24/03/20,10257
Kedelai Impor,25/03/20,12333
Kedelai Impor,26/03/20,10238
Kedelai Impor,27/03/20,10188
Kedelai Impor,28/03/20,
Kedelai Impor,29/03/20,
Kedelai Impor,30/03/20,10118
Kedelai Impor,31/03/20,10316
